sc23 company name,sc23 booth number,sc23 booth area sqft,sc23 normalized company name,sc24 company name,sc24 booth number,sc24 booth area sqft,sc24 normalized company name,canonical name,max booth area sqft,sqft increase,sqft abs change
,,0.0,,South Carolina Research Computing Consortium,451,400.0,south carolina research computing consortium,south carolina research computing consortium,400.0,400.0,400.0
,,0.0,,Ori,3855,400.0,ori,ori,400.0,400.0,400.0
,,0.0,,Tennessee Tech University,751,400.0,tennessee tech university,tennessee tech university,400.0,400.0,400.0
,,0.0,,"ENEOS USA, Inc.",4731,400.0,eneos usa inc,eneos usa inc,400.0,400.0,400.0
DigitalOcean,331,400.0,digitalocean,,,0.0,,digitalocean,400.0,-400.0,400.0
,,0.0,,ionstream.ai,3915,400.0,ionstreamai,ionstreamai,400.0,400.0,400.0
Achronix Semiconductor Corporation,2019,400.0,achronix semiconductor corporation,,,0.0,,achronix semiconductor corporation,400.0,-400.0,400.0
,,0.0,,Fast Photonics Inc,4445,400.0,fast photonics inc,fast photonics inc,400.0,400.0,400.0
,,0.0,,Fortune&One,4843,400.0,fortuneone,fortuneone,400.0,400.0,400.0
,,0.0,,General Dynamics Information Technology (GDIT),3631,400.0,general dynamics information technology gdit,general dynamics information technology gdit,400.0,400.0,400.0
Cooltera Limited,1775,400.0,cooltera limited,,,0.0,,cooltera limited,400.0,-400.0,400.0
Nyriad Inc.,2131,400.0,nyriad inc,,,0.0,,nyriad inc,400.0,-400.0,400.0
,,0.0,,Hypertec,539,400.0,hypertec,hypertec,400.0,400.0,400.0
,,0.0,,MARA,4831,400.0,mara,mara,400.0,400.0,400.0
,,0.0,,Strategic Thermal Labs,3755,400.0,strategic thermal labs,strategic thermal labs,400.0,400.0,400.0
,,0.0,,CoCoLink,2951,400.0,cocolink,cocolink,400.0,400.0,400.0
"Solid State Storage Technology Corporation, SSSTC",2007,400.0,ssstc,,,0.0,,ssstc,400.0,-400.0,400.0
NEUCHIPS INC.,2099,400.0,neuchips inc,,,0.0,,neuchips inc,400.0,-400.0,400.0
