company name,booth number,booth area sqft
ParTec AG,744,100
Quantum Machines,746,100
SC24 Headshot Lounge,4752,200
SC24 Headshot Lounge,406,200
NTNU,817,100
"Bergen Language Design Laboratory, University of Bergen",815,100
LDA Technologies,2506,100
Open Compute Project Foundation,2407,100
Tachyum Inc.,3049,100
Tatsuta Electric Wire&Cable Co.Ltd.,3148,100
US Valve Corporation,3951,100
"CoCalc by SageMath, Inc.",4218,100
Boundary Electric,4125,600
"Ciphertex, LLC",4119,100
Parker Hannifin,1841,200
GRC,1845,100
dNOC,1318,100
dNOC,3318,100
Starfish Storage,2123,600
Arc Compute,1917,3000
Microsoft,1905,2500
Advanced Micro Devices (AMD),2731,600
MiTAC Computing Technology Corporation,2543,600
StarLight,2551,400
JetCool Technologies,2651,400
Micron Technology,2643,600
SUPERMICRO,2531,2500
DDN,2431,600
HLRS,2231,2500
Altair,2131,600
Weka,1931,2500
Liqid,1943,400
Groq,1949,600
Great Plains Network,1849,400
STULZ,1748,1600
nVent,1738,1600
Google LLC,1730,1200
IBM,1831,600
Intel Corporation,1704,2000
Nokia,1823,600
VAST Data,1722,1200
Penguin Solutions,1523,900
Ace Computers,1614,400
Boston Limited / Source Code,1503,1500
Data in Science Corporation,1451,900
Juelich Supercomputing Centre,1443,900
LITEON,1431,1500
Pure Storage,1231,1200
Hitachi Vantara,1549,900
National Center for High-Performance Computing,1541,900
Korea Semiconductor Industry Association,1531,900
NextSilicon,1419,1500
Viridien,1223,1200
DDC Solutions,1413,600
Indiana University,1401,1500
Texas Advanced Computing Center,1203,1600
EPCC - The University of Edinburgh,1101,400
AIC Inc.,1107,400
Celestica,1113,400
Spectra Logic,1119,400
Samtec,1125,400
Mississippi State University,1131,800
"Run:ai Labs USA, Inc.",1143,600
PSNC/PIONIER - Polish Optical Internet,1149,600
Vultr,949,400
University of Utah,941,600
The Ohio State University,745,400
Tennessee Tech University,751,400
Storj + Valdi.ai,851,400
NSF- ACCESS,739,400
University of Southern California/California Institute of Technology,839,500
NCAR,931,600
